block_id,doc_id,block_type,content
Zurich_en_b43,Zurich_en,text,"The street is one of the longest in greater Zurich; it passes under the combined approach lines of the main station and leads over to Limmatplatz in the industrial district north of the railway. Nearby stand St. John’s church and several other large new school buildings. Industrial establishments of the greatest scale are in operation in this district on both sides of the long double viaduct, over which trains from Oerlikon and the right lake shore (from the Lettentunnel at Stadelhofen) rattle down the far-reaching curve to the lower station level."
Zurich_en_b44,Zurich_en,text,"Along the left Sihl bank (Sihlquai) the “industrial railway,” a goods line extending almost to the main station, ends there in a dead-end, conveying traffic to the large factories. We name the renowned machine factory Escher-Wyss & Co., the Steinfels soap factory, the joint-stock brewery, the city mill, etc. The municipal filter plants for drinking water are also located on the Sihlquai, and further downstream across the Limmat, pumping and power plants near Letten station. Past the former gasworks, now arranged for troop accommodation (cavalry) in case of mobilization, we reach outside the viaduct the newly widened Wipkinger bridge, with a pretty view downstream of the Limmat valley and to the village of Hoengg leaning gently against the slope of Käferberg. With the right Limmat bank, we enter the fourth city district, pass through Wipkingen, which still largely retains its village character, cross Röschibachstrasse and the kilometres-long Nordstrasse, go through Rotbuchstrasse up to Rötel. There is lively construction activity here, as almost everywhere on the city periphery. We have the choice to travel back by the Oerlikon-Seebacher tramway or with the newest “city” line through Weinbergstrasse through the district Unterstrass to Leonhardsplatz at the Bahnhofbrücke."
Zurich_en_b45,Zurich_en,text,"Zurich: Wiedikon, the church and the schools."
Zurich_en_b46,Zurich_en,text,"Or we continue the mountain walk to the magnificent school building on Riedlistrasse above the church and via newly laid out, significantly changing road routes, where everything is in the process of becoming and growing, up into the freely built, garden-rich Rigi quarter. On the Höhenstrasse we enjoy the magnificent overview of the city and surroundings. Those interested in statistics count about twenty churches plus less prominent minority chapels, the numerous new schoolhouse roofs and, down the valley, the busily smoking factory chimneys down to the three mighty gasometers of the city gasworks in Schlieren."
Zurich_en_b47,Zurich_en,text,"Now we best recognize the wonderful location of the city at the outlet of the large lake, at the confluence of the Limmat and Sihl, open valley upwards and valley downwards, capable of expansion, laterally limited by the almost straight Uetliberg ridge and the gently rolling Zurichberg: generously laid out in main lines, nourished and moved by the tame lake water and the wild young Sihl, and nicely limited on the sides by established, not excessively high rock walls. One almost wants to say that this Zurich natural picture resembles in miniature the character of the population and their institutions."
Zurich_en_b48,Zurich_en,text,"From the Höhenstrasse down, one overlooks the impressive building complex of the cantonal and federal universities. Above all, the main building of the Swiss Federal Polytechnic School deserves mention. The school was founded in 1855, includes the construction school, engineering school, mechanical, agricultural and forestry departments, a department for training specialized teachers in mathematics and natural sciences, a philosophical-economic (so-called free subjects) department, and a military science department."
Zurich_en_b49,Zurich_en,text,"The main building, built according to plans by Gottfried Semper from 1861–64 and fully operational since 1864, stands foremost on the scenic ramp of the university complex towards the old town. In the middle building, crowned by a series of allegorical figures by sculptor Graf, is a beautiful aula that has served both universities until now. Here and in the vestibule stand busts of school board president Dr. Kappeler (Hörbst) and professors Kopp and Bolley, as well as Semper and Culmann (Richard Kisling)."
Zurich_en_b50,Zurich_en,text,"The northern facade is decorated with sgraffito. The south wing is currently occupied by the University, which will soon receive a magnificent new home in close proximity. Behind the polytechnic stands the old chemical laboratory (hygienic institute). A whole network of scientific institutes line up: federal materials testing institute, federal testing institute for fuels, federal machine laboratory (built 1899/1900), federal chemical laboratories (occupied 1886) with the Swiss agricultural chemical institute and seed control station, federal central office for forestry research, agricultural and forestry school (1874) with experimental garden, federal observatory, federal physics building (1890), with the Swiss meteorological central institute, cantonal hospital, laboratory of the cantonal chemist and dental polyclinic (1899/1900), anatomy, isolation hospital, pathological institute (1832), eye clinic, blind and deaf-mute institute, cantonal physics and physiology building, and recently (spring 1909) opened cantonal chemical laboratories of the University and new cantonal school building opposite the old cantonal school on Rämistrasse, built in 1839–42 by architect Wegmann. At that time, the cubic meter cost 13.5 francs; today, school buildings cost almost double! Adjacent to the city are the Wolfbach schoolhouse, the music conservatory in Florhofgasse (1900–1902) with large concert hall (450 seats), the magnificent Hirschengraben schoolhouse, and the collegiate building at Rechberg, an old, handsome patrician house."
Zurich_en_b51,Zurich_en,text,"Truly a blessed district of intellect, where canton and Confederation compete to build worthy places for science and the disciplines of its technical application! And one must not forget what the city itself does for its school system. See the chapter “Education” under “Zurich canton.” Especially striking in the cityscape are the municipal school buildings. At the time of the city unification in 1893, there were 39 schoolhouses in the old city and the outer municipalities combined, the oldest being the plain schoolhouse at Badenerstrasse (occupied 1821) and the youngest the tall school palace at Hirschengraben (1893, architect Alexander Koch). Since then, almost every year a school building (with gyms, bathing facilities, school kitchens, workshops, modeling rooms, small school gardens, etc.) has been added. In the new buildings, classrooms are planned for a maximum of 55 primary or 35 secondary students; with 7×10–11 or 7×9 meters floor space, low-pressure steam and hot water heating; air heating has been abandoned. The costs amounted to (1889-1902) per class 42,000 Fr., per student 770 Fr., per m3 25.73 Fr. (“pure construction costs”)."
Zurich_en_b52,Zurich_en,text,"Through friendly villa quarters, our way finally leads from the Höhen- and Bergstrasse to the Dolder Forest House at the entrance to the large beautiful Dolderpark. We are near the highest edge of the inhabited city area and ride with the cable car past the mighty dome of the Kreuzkirche down to Römerhof and from there with the municipal tram past the original St. Antonius church through Hottingen via Kreuzplatz-Bahnhof Stadelhofen south of the tree-crowned hill of the High Promenade (Nägeli Monument, French and English churches) to the city theater (built by Fellner and Helmer in Vienna, inaugurated in autumn 1891; the old theater at Untern Zäune burned down on the night of January 1/2, 1890) and the Corso Theater (variety stage opened in 1900) and past the old Tonhalle square back to Quaibrücke, where we started the tour."
Zurich_en_b53,Zurich_en,text,"The short tour through the city could not touch many districts, as we got to know the inner old town and the younger outer zones in two concentric ellipses. Two pretty oases in the jumble of houses must, however, be specially added: first, the Heimplatz near Pfauen Theater (the city theater’s drama stage) with the monument to the singing father Ignaz Heim and the new art house, whose completion will crown years of efforts by enthusiasts of fine arts; nearby the upper court with the jury court chamber and the plain “Obmann office” (former Barefoot monastery), the central office of cantonal administration, with many branches housed in neighboring buildings due to lack of space."
Zurich_en_b54,Zurich_en,text,"And second, the botanical garden, laid out in 1836 on the former “Bollwerk zur Katze” in the west corner of Schanzengraben. It includes a morphological-biological plant section, a systematic department, tropical useful and ornamental plants in greenhouses, as well as phytogeographic groups (Alpinum). The museum houses a type herbarium for the identification of Swiss plants accessible to the public; it also holds an extensive herbarium of the canton of Zurich, a Helveticum herbarium and a general herbarium, along with some specialist herbaria (including those of Hegetschweiler and Gessner), as well as fruit and model collections. The park is adorned with monuments to botanists Heinrich Zollinger, Oswald Heer, A. de Candolle, and Konrad Gessner. Nearby in Selnau, near the Uetliberg and Sihl valley railway station, is the narrow district office, with a mighty erratic block in front."
Zurich_en_b55,Zurich_en,text,Zurich: Badenerstrasse and Saint Jakob's Church.
Zurich_en_b56,Zurich_en,text,"Picturesque small-town, almost medieval is the physiognomy of the innermost city districts, in whose often unhygienic narrow alleys the native himself finds it difficult to find his way; note on the city map the small labyrinth around the Peter tower and up to the Gemüsebrücke, or on the right bank between the Limmat and Zäune-Neumarkt-Rindermarkt. Many houses still bear cheerful names according to old custom, often of historical significance: zur Windegg, Kerze, zum Loch, zum Pflug, Königsstuhl, Kropf, Wellenbaum, Einhorn, zum steinernen Erggel, das Gut zum Rechberg, der Beckenhof, der Strohhof, Friesenberg, etc. Original oriels decorate the fronts of Kirchgasse, Schipfe, lower Zäune, Augustinergasse, and heavy wrought iron grills are thoughtful door and window sculptures, bearing witness to tasteful solidity (Unicorn, Candle, Town Hall, Rechberg, Orphanage, Meise, etc.). Gradually, however, the old type disappears, although historically valuable objects are preserved by respectful restorations (paneling and wooden ceilings of the guild houses zur Schmieden, zur Saffran, Zimmerleuten, etc.). The cityscape must change over time."
Zurich_en_b57,Zurich_en,text,"Even today, the dark green-gray sandstone center of the city is distinctly separated from the outer districts, for whose construction whole sample cards of building materials were already available: white Dielsdorf Lägern limestones, so-called Solothurn marble, massive Black Forest granite from the Albthal; alpine chalk limestones and red Vosges sandstones for paving stones. Glimmer-rich Reuss protogine or Ticino gneiss, even delicately pink granite from Baveno (Italy) at Lake Langensee is brought by the Gotthard railway, and large quantities of easily workable Savonnières fossil limestone are imported from France. The farther one gets to the periphery, to the districts under development, the more varied, depending on the practical use, are the building stones and building style. Foreign material has already found its way into the old town, where modern business palaces are built instead of cozy bourgeois houses. At the Zwingli monument in front of the Wasserkirche, for example, 9 different types of rock were used for the worthy construction of the simple bronze statue. And yet even in the old city center, sandstone gradually displaced a formerly closer, colorful building material: the former moraine blocks, which still appear here and there in old masonry during demolition. Even in the 12th and 13th centuries, houses “were unsightly, mostly wooden huts, about two storeys high, with one room into which two, often three households shared, and several chambers. Stone houses were among the greatest rarities at the time, so they were explicitly named as such in documents... After the terrible fire of 1313 that consumed more than half of the small city, an ordinance was issued that every rebuilt house should at least have one floor masonry...” (Meyer von Knonau: Der Kanton Zürich. 1844. Vol. I, pp. 231 ff.). Still quicker disappeared the people whom these houses sheltered in joy and sorrow. Numerous marble memorial plaques respectfully remind us of famous names, whose historical glory often stands in strange contrast to the simple hut of the birth or death house or the place of former activity of the honored person: Zwingli's office apartment at Kirchgasse, Heinrich Pestalozzi’s birthplace at Rüdenplatz, birthplace of Gottfried Keller at Rindermarkt, house of Escher von der Linth at Sihlstrasse, and many others."
Zurich_en_b58,Zurich_en,text,"Latest literature: City map (published by the municipal surveying office), 9 sheets 1:5000. - Tourist overview map 1:15000 (1:75000 out of print). - Heim and Imfeld: Mountain panorama from Zurichberg. - Heim, Alb.: Mountain view from Stadthausplatz (Bürkliplatz) and from the hill in the Enge park. - Heim, Alb.: Panorama from the alcohol-free spa on the Zurichberg. 1901. - Annual report of the city council for 1907 (Zurich 1908). - Commemorative publication for the 50th anniversary of the polytechnic 1905, published by the Zurich engineering and architects association Vol. II: The structural development of Zurich in individual presentations (including especially Fietz: The cantonal educational institutions; Geiser: The school buildings of the city since 1893; Lasius: The federal polytechnic school). - Bär, E.: The women’s monastery St. Verena in Zurich (programme of the higher daughters’ school of the city of Zurich, 1902/03). - Wehrli, Leo. What the stones in Zurich tell us (Die Schweiz. 1897). - Künzli, E. The stones of the quays (Guide through the quays in Zurich) 1898. - Schinz, H. Guide to the botanical garden of the University of Zurich, 1908."
Zurich_en_b59,Zurich_en,text,Zurich: Bauschänzli.
Zurich_en_b60,Zurich_en,heading,3. Climate.
Zurich_en_b61,Zurich_en,text,See the article Zurich (Canton).
Zurich_en_b62,Zurich_en,heading,4. Population.
