fact_id,text
fact_place_place_zurich_switzerland_the_area_of_the_city_of_zurich_united_with_its_outer_municipalities_forms_a_horseshoe_shape_on_the_map_around_the_lower_lake_basin,The area of the city of Zurich united with its outer municipalities forms a horseshoe shape on the map around the lower lake basin.
fact_place_place_zurich_switzerland_the_area_is_44_17_km_2,The area is 44.17 km^2.
fact_place_place_zurich_switzerland_the_city_area_consists_of_the_actual_former_zurich_in_the_center,The city area consists of the actual former Zurich in the center.
fact_place_place_zurich_switzerland_zurich_is_the_largest_community_in_switzerland,Zurich is the largest community in Switzerland.
fact_place_place_wollishofen_zurich_switzerland_wollishofen_has_been_united_with_the_old_town_of_zurich_since_1893,Wollishofen has been united with the old town of Zurich since 1893.
fact_place_place_enge_zurich_switzerland_enge_has_been_united_with_the_old_town_of_zurich_since_1893,Enge has been united with the old town of Zurich since 1893.
fact_place_place_wiedikon_zurich_switzerland_wiedikon_has_been_united_with_the_old_town_of_zurich_since_1893,Wiedikon has been united with the old town of Zurich since 1893.
fact_place_place_aussersihl_zurich_switzerland_aussersihl_has_been_united_with_the_old_town_of_zurich_since_1893,Aussersihl has been united with the old town of Zurich since 1893.
fact_place_place_wipkingen_zurich_switzerland_wipkingen_has_been_united_with_the_old_town_of_zurich_since_1893,Wipkingen has been united with the old town of Zurich since 1893.
fact_place_place_unterstrass_zurich_switzerland_unterstrass_has_been_united_with_the_old_town_of_zurich_since_1893,Unterstrass has been united with the old town of Zurich since 1893.
fact_place_place_oberstrass_zurich_switzerland_oberstrass_has_been_united_with_the_old_town_of_zurich_since_1893,Oberstrass has been united with the old town of Zurich since 1893.
fact_place_place_fluntern_zurich_switzerland_fluntern_has_been_united_with_the_old_town_of_zurich_since_1893,Fluntern has been united with the old town of Zurich since 1893.
fact_place_place_hottingen_zurich_switzerland_hottingen_has_been_united_with_the_old_town_of_zurich_since_1893,Hottingen has been united with the old town of Zurich since 1893.
fact_place_place_hirslanden_zurich_switzerland_hirslanden_has_been_united_with_the_old_town_of_zurich_since_1893,Hirslanden has been united with the old town of Zurich since 1893.
fact_place_place_riesbach_zurich_switzerland_riesbach_has_been_united_with_the_old_town_of_zurich_since_1893,Riesbach has been united with the old town of Zurich since 1893.
fact_date_date_1893_1893_1893_the_outer_municipalities_were_united_with_the_old_town_of_zurich_since_1893,The outer municipalities were united with the old town of Zurich since 1893.
fact_place_place_zurich_switzerland_zurich_is_a_city_approached_slowly_by_ship_downstream_on_a_mild_summer_evening,Zurich is a city approached slowly by ship downstream on a mild summer evening.
fact_place_place_zurich_switzerland_zurichhorn_is_a_bushy_area_in_zurich_where_the_hornbach_has_formed_a_wide_densely_settled_delta_in_the_lake,"Zurichhorn is a bushy area in Zurich where the Hornbach has formed a wide, densely settled delta in the lake."
fact_place_place_zurich_switzerland_the_lake_near_zurich_becomes_narrower_with_artificially_reclaimed_settlement_areas_on_both_sides,The lake near Zurich becomes narrower with artificially reclaimed settlement areas on both sides.
fact_place_place_zurich_switzerland_on_the_left_side_above_the_lake_are_the_venerable_belvoirpark_and_rich_villa_quarters_on_the_moraine_hills_of_enge,On the left side above the lake are the venerable Belvoirpark and rich villa quarters on the moraine hills of Enge.
fact_place_place_zurich_switzerland_on_the_right_side_above_the_lake_is_the_zurichberg_a_single_airy_garden_city_from_the_hirslanderberg_down_to_the_rigiquartier,"On the right side above the lake is the Zurichberg, a single airy garden city from the Hirslanderberg down to the Rigiquartier."
fact_place_place_zurichhorn_zurich_switzerland_zurichhorn_is_a_bushy_area_where_the_hornbach_has_formed_a_wide_densely_settled_delta_in_the_lake,"Zurichhorn is a bushy area where the Hornbach has formed a wide, densely settled delta in the lake."
fact_place_place_hornbach_the_hornbach_has_formed_a_wide_densely_settled_delta_in_the_lake_at_zurichhorn,"The Hornbach has formed a wide, densely settled delta in the lake at Zurichhorn."
fact_place_place_belvoirpark_zurich_switzerland_belvoirpark_is_located_on_the_left_side_above_the_artificially_reclaimed_settlement_areas_near_zurich,Belvoirpark is located on the left side above the artificially reclaimed settlement areas near Zurich.
fact_place_place_enge_zurich_switzerland_enge_has_rich_villa_quarters_on_the_moraine_hills_above_the_lake_on_the_left_side,Enge has rich villa quarters on the moraine hills above the lake on the left side.
fact_place_place_zurichberg_zurich_switzerland_zurichberg_is_a_single_airy_garden_city_on_the_right_side_above_the_artificially_reclaimed_settlement_areas_near_zurich,Zurichberg is a single airy garden city on the right side above the artificially reclaimed settlement areas near Zurich.
fact_place_place_hirslanderberg_hirslanderberg_is_part_of_the_zurichberg_garden_city_area_from_hirslanderberg_down_to_the_rigiquartier,Hirslanderberg is part of the Zurichberg garden city area from Hirslanderberg down to the Rigiquartier.
fact_place_place_rigiquartier_rigiquartier_is_part_of_the_zurichberg_garden_city_area_from_hirslanderberg_down_to_the_rigiquartier,Rigiquartier is part of the Zurichberg garden city area from Hirslanderberg down to the Rigiquartier.
fact_place_place_zurich_switzerland_zurich_is_seen_from_the_lake,Zurich is seen from the lake.
fact_place_place_the_lake_the_lake_still_gleams,The lake still gleams.
fact_place_place_sihl_zurich_switzerland_black_blue_dark_mixed_forest_interspersed_with_dark_yews_rises_beyond_the_sihl,"Black-blue dark mixed forest, interspersed with dark yews, rises beyond the Sihl."
fact_place_place_uetliberg_zurich_switzerland_the_uetliberg_ridge_is_straight_and_has_bare_sandstone_emerging_here_and_there_in_hollow_niches,The Uetliberg ridge is straight and has bare sandstone emerging here and there in hollow niches.
fact_place_place_uetliberg_zurich_switzerland_comfortable_inns_greet_from_the_summit_of_the_uetliberg_ridge,Comfortable inns greet from the summit of the Uetliberg ridge.
fact_place_place_zurichberg_zurich_switzerland_the_last_golden_rays_of_the_evening_sun_flee_up_over_the_zurichberg,The last golden rays of the evening sun flee up over the Zurichberg.
fact_place_place_grossmünster_zurich_switzerland_the_two_grossmünster_towers_are_sharp_profiled,The two Grossmünster towers are sharp-profiled.
fact_place_place_fraumünster_zurich_switzerland_the_fraumünster_spire_is_slender,The Fraumünster spire is slender.
fact_place_place_tonhalle_zurich_switzerland_the_viennese_delicate_new_tonhalle_blocks_the_way,The Viennese delicate new Tonhalle blocks the way.
fact_place_place_red_and_white_castles_the_red_and_white_castles_are_built_on_former_lake_ground_in_zurich,The Red and White Castles are built on former lake ground in Zurich.
fact_place_place_rentenanstalt_zurich_switzerland_the_rentenanstalt_is_built_on_former_lake_ground_in_zurich,The Rentenanstalt is built on former lake ground in Zurich.
fact_place_place_unfall_zürich_zurich_switzerland_unfall_zürich_is_built_on_former_lake_ground_in_zurich,Unfall Zürich is built on former lake ground in Zurich.
fact_place_place_city_theatre_the_city_theatre_is_built_on_former_lake_ground_in_zurich,The city theatre is built on former lake ground in Zurich.
fact_place_place_uetliberg_castle_zurich_switzerland_uto_castle_is_built_on_former_lake_ground_in_zurich,Uto castle is built on former lake ground in Zurich.
fact_place_place_limmat_zurich_switzerland_the_limmat_flows_under_the_arches_of_the_quaibrücke_in_zurich,The Limmat flows under the arches of the Quaibrücke in Zurich.
fact_place_place_quaibrücke_zurich_switzerland_the_quaibrücke_is_a_monumental_bridge_in_zurich,The Quaibrücke is a monumental bridge in Zurich.
fact_place_place_st_peter_s_church_zurich_switzerland_st_peter_s_tower_with_the_large_clock_completes_the_characteristic_silhouette_of_zurich,St. Peter's tower with the large clock completes the characteristic silhouette of Zurich.
fact_place_place_uetliberg_zurich_switzerland_spotlights_from_the_uto_shine_over_the_city,Spotlights from the Uto shine over the city.
fact_place_place_urania_sternwarte_zurich_switzerland_spotlights_from_the_original_urania_tower_shine_over_the_city,Spotlights from the original Urania tower shine over the city.
fact_place_place_tonhalle_zurich_switzerland_spotlights_from_the_tonhalle_shine_over_the_city,Spotlights from the Tonhalle shine over the city.
fact_place_place_lakeside_edge_the_lakeside_edge_of_zurich_is_illuminated_at_night_with_banks_and_bridges_wearing_light_wreaths,The lakeside edge of Zurich is illuminated at night with banks and bridges wearing light wreaths.
fact_place_place_lake_the_lake_is_the_outlet_of_the_river,The lake is the outlet of the river.
fact_place_place_both_lake_shores_the_picture_gathers_from_both_lake_shores,The picture gathers from both lake shores.
fact_place_place_the_lake_the_lake_facilitated_traffic_by_water,The lake facilitated traffic by water.
fact_place_place_the_lake_the_lake_can_easily_be_blocked_at_the_outlet_and_served_as_a_defense,The lake can easily be blocked at the outlet and served as a defense.
fact_place_place_the_valley_traffic_was_facilitated_down_the_valley_by_water,Traffic was facilitated down the valley by water.
fact_place_place_the_moraine_ridge_the_moraine_ridge_was_used_to_form_an_inner_line_of_defense,The moraine ridge was used to form an inner line of defense.
fact_place_place_the_higher_mountains_east_and_west_the_higher_mountains_east_and_west_form_outer_protective_walls,The higher mountains east and west form outer protective walls.
fact_place_place_zurich_switzerland_zurich_became_the_depot_for_goods_mediation_between_italy_and_germany,Zurich became the depot for goods mediation between Italy and Germany.
fact_place_place_zurich_switzerland_zurich_s_own_industry_developed_early_and_expansively,Zurich's own industry developed early and expansively.
fact_place_place_zurich_switzerland_the_first_swiss_railway_ran_from_zurich,The first Swiss railway ran from Zurich.
fact_place_place_zurich_switzerland_zurich_is_the_hub_of_railway_lines_from_schaffhausen_winterthur_romanshorn_frauenfeld_singen_etzwilen_st_gallen_the_glatt_valley_the_right_and_left_lake_shores_the_,"Zurich is the hub of railway lines from Schaffhausen, Winterthur, Romanshorn-Frauenfeld, Singen-Etzwilen, St. Gallen, the Glatt valley, the right and left lake shores, the Glarus region, the canton of Graubünden, the Arlberg, Wädenswil-Einsiedeln, Ricken-Toggenburg, Lucerne-Zug (Gotthard), Basel-Brugg, western Switzerland-Aarau-Brugg."
fact_place_place_zurich_switzerland_zurich_is_the_largest_swiss_city_with_high_significance_due_to_its_railway_connections,Zurich is the largest Swiss city with high significance due to its railway connections.
fact_place_place_baden_aargau_switzerland_the_spanish_brötli_bahn_railway_line_connected_zurich_to_baden,The 'Spanish Brötli Bahn' railway line connected Zurich to Baden.
fact_place_place_schaffhausen_switzerland_there_is_a_railway_line_from_schaffhausen_to_zurich,There is a railway line from Schaffhausen to Zurich.
fact_place_place_winterthur_switzerland_there_is_a_railway_line_from_winterthur_to_zurich,There is a railway line from Winterthur to Zurich.
fact_place_place_romanshorn_frauenfeld_there_is_a_railway_line_from_romanshorn_frauenfeld_to_zurich,There is a railway line from Romanshorn-Frauenfeld to Zurich.
fact_place_place_singen_etzwilen_there_is_a_railway_line_from_singen_etzwilen_to_zurich,There is a railway line from Singen-Etzwilen to Zurich.
fact_place_place_st_gallen_switzerland_there_is_a_railway_line_from_st_gallen_to_zurich,There is a railway line from St. Gallen to Zurich.
fact_place_place_glatt_valley_there_is_a_railway_line_from_the_glatt_valley_to_zurich,There is a railway line from the Glatt valley to Zurich.
fact_place_place_right_and_left_lake_shores_there_are_railway_lines_from_the_right_and_left_lake_shores_to_zurich,There are railway lines from the right and left lake shores to Zurich.
fact_place_place_glarus_switzerland_there_is_traffic_from_the_glarus_region_to_zurich,There is traffic from the Glarus region to Zurich.
fact_place_place_graubünden_switzerland_there_is_traffic_from_the_canton_of_graubünden_to_zurich,There is traffic from the canton of Graubünden to Zurich.
fact_place_place_arlberg_austria_there_is_traffic_from_the_arlberg_to_zurich,There is traffic from the Arlberg to Zurich.
fact_place_place_wädenswil_einsiedeln_there_is_a_railway_line_from_wädenswil_einsiedeln_to_zurich,There is a railway line from Wädenswil-Einsiedeln to Zurich.
fact_place_place_ricken_toggenburg_there_will_soon_be_a_railway_line_from_ricken_toggenburg_to_zurich,There will soon be a railway line from Ricken-Toggenburg to Zurich.
fact_place_place_lucerne_zug_gotthard_there_is_a_railway_line_from_lucerne_zug_gotthard_to_zurich,There is a railway line from Lucerne-Zug (Gotthard) to Zurich.
fact_place_place_basel_brugg_there_is_a_railway_line_from_basel_brugg_to_zurich,There is a railway line from Basel-Brugg to Zurich.
fact_place_place_western_switzerland_aarau_brugg_there_is_a_railway_line_from_western_switzerland_aarau_brugg_to_zurich,There is a railway line from western Switzerland-Aarau-Brugg to Zurich.
fact_place_place_zurich_switzerland_the_paragraph_mentions_a_historical_map_of_the_city_of_zurich,The paragraph mentions a historical map of the city of Zurich.
fact_place_place_uetliberg_zurich_switzerland_the_heights_of_the_uetliberg_provide_a_view_of_the_city_map,The heights of the Uetliberg provide a view of the city map.
fact_place_place_old_town_zurich_switzerland_the_old_town_is_hilly_and_angular_with_dark_age_gray_sandstone_houses_and_blackened_tile_ridges,"The old town is hilly and angular with dark, age-gray sandstone houses and blackened tile ridges."
fact_place_place_lake_zurich_zurich_switzerland_the_outer_zone_s_street_grid_blocks_gradually_dissolve_uphill_on_both_sides_of_the_lake_into_villa_quarters,The outer zone's street grid blocks gradually dissolve uphill on both sides of the lake into villa quarters.
fact_place_place_limmat_zurich_switzerland_the_outer_zone_s_street_grid_blocks_gradually_dissolve_uphill_on_both_sides_of_the_limmat_into_villa_quarters,The outer zone's street grid blocks gradually dissolve uphill on both sides of the Limmat into villa quarters.
fact_place_place_schanzengraben_zurich_switzerland_the_angular_shape_of_the_schanzengraben_betrays_the_extent_of_the_former_small_city_on_the_left_limmat_bank,The angular shape of the Schanzengraben betrays the extent of the former 'small city' on the left Limmat bank.
fact_place_place_seilergraben_hirschengraben_seilergraben_hirschengraben_enclose_the_large_right_bank_city_uphill,Seilergraben-Hirschengraben enclose the 'large' (right bank) city uphill.
fact_place_place_bürkliplatz_zurich_switzerland_bürkliplatz_was_formerly_called_stadthausplatz,Bürkliplatz was formerly called Stadthausplatz.
fact_place_place_enge_zurich_switzerland_beautiful_parks_lie_to_the_left_towards_enge,Beautiful parks lie to the left towards Enge.
fact_place_place_bahnhofstrasse_zurich_switzerland_beautiful_parks_lie_before_us_towards_bahnhofstrasse,Beautiful parks lie before us towards Bahnhofstrasse.
fact_place_place_quaibrücke_zurich_switzerland_the_quaibrücke_was_built_in_1882_83_from_coarse_black_forest_granite,The Quaibrücke was built in 1882/83 from coarse Black Forest granite.
fact_place_place_quaibrücke_zurich_switzerland_it_bridges_the_limmat_s_outflow_from_the_lake_with_a_length_of_165_m,It bridges the Limmat's outflow from the lake with a length of 165 m.
fact_date_date_1882_83_1882_1883_the_quaibrücke_was_built_in_1882_83_from_coarse_black_forest_granite,The Quaibrücke was built in 1882/83 from coarse Black Forest granite.
fact_place_place_lake_from_here_in_clear_especially_föhn_weather_one_enjoys_a_magnificent_view_of_lake_and_mountains,"From here, in clear, especially föhn weather, one enjoys a magnificent view of lake and mountains."
fact_place_place_zollikon_zurich_switzerland_behind_the_pointed_church_tower_of_zollikon_rises_the_magnificent_layered_mass_of_the_glärnisch,Behind the pointed church tower of Zollikon rises the magnificent layered mass of the Glärnisch.
fact_place_place_glärnisch_glarus_switzerland_the_glärnisch_has_the_vrenelisgärtli_and_the_bächistock_behind_the_great_firn_shoulder,The Glärnisch has the Vrenelisgärtli and the Bächistock behind the great firn shoulder.
fact_place_place_vrenelisgärtli_glarus_switzerland_vrenelisgärtli_is_part_of_the_glärnisch_massif,Vrenelisgärtli is part of the Glärnisch massif.
fact_place_place_bächistock_glarus_switzerland_bächistock_is_behind_the_great_firn_shoulder_of_the_glärnisch,Bächistock is behind the great firn shoulder of the Glärnisch.
fact_place_place_faulen_to_the_right_follows_the_limestone_block_of_the_faulen,To the right follows the limestone block of the Faulen.
fact_place_place_drusberg_canton_of_zurich_switzerland_in_the_front_scene_is_the_obliquely_striped_drusberg_in_the_upper_sihl_valley,In the front scene is the obliquely striped Drusberg in the upper Sihl valley.
fact_place_place_sihl_valley_zurich_switzerland_drusberg_is_located_in_the_upper_sihl_valley,Drusberg is located in the upper Sihl valley.
fact_place_place_bifertenstock_glarus_switzerland_bifertenstock_is_visible_following_drusberg,Bifertenstock is visible following Drusberg.
fact_place_place_tödi_glarus_switzerland_tödi_is_visible_following_bifertenstock,Tödi is visible following Bifertenstock.
fact_place_place_klariden_glarus_switzerland_klariden_is_visible_following_tödi,Klariden is visible following Tödi.
fact_place_place_scheerhorn_glarus_switzerland_scheerhorn_is_visible_following_klariden,Scheerhorn is visible following Klariden.
fact_place_place_düssistock_glarus_switzerland_the_elegant_firn_pyramid_of_the_düssistock_is_visible,The elegant firn pyramid of the Düssistock is visible.
fact_place_place_mythen_schwyz_switzerland_in_the_mid_ground_the_mythen_often_stand_out_in_dark_blue_gray,"In the mid-ground, the Mythen often stand out in dark blue-gray."
fact_place_place_windgällen_uri_switzerland_behind_the_mighty_windgällen_wall_is_the_porphyry_summit_of_the_kleinen_windgälle_below_to_the_right,Behind the mighty Windgällen wall is the porphyry summit of the Kleinen Windgälle below to the right.
fact_place_place_kleinen_windgälle_uri_switzerland_the_porphyry_summit_of_the_kleinen_windgälle_is_below_to_the_right_of_the_windgällen_wall,The porphyry summit of the Kleinen Windgälle is below to the right of the Windgällen wall.
fact_place_place_kaiserstock_uri_switzerland_over_the_gap_of_kaiserstock_and_rossberg_rises_the_ridge_rich_bristenstock,Over the gap of Kaiserstock and Rossberg rises the ridge-rich Bristenstock.
fact_place_place_rossberg_uri_switzerland_over_the_gap_of_kaiserstock_and_rossberg_rises_the_ridge_rich_bristenstock,Over the gap of Kaiserstock and Rossberg rises the ridge-rich Bristenstock.
fact_place_place_bristenstock_uri_switzerland_the_ridge_rich_bristenstock_rises_over_the_gap_of_kaiserstock_and_rossberg,The ridge-rich Bristenstock rises over the gap of Kaiserstock and Rossberg.
fact_place_place_western_urnäsch_the_firn_wreath_extends_to_the_western_urnäsch_urirotstock_schlossstock_and_wissig,"The firn wreath extends to the western Urnäsch (Urirotstock, Schlossstock, and Wissig)."
fact_place_place_urirotstock_urirotstock_is_part_of_the_western_urnäsch_firn_wreath,Urirotstock is part of the western Urnäsch firn wreath.
fact_place_place_schlossstock_schlossstock_is_part_of_the_western_urnäsch_firn_wreath,Schlossstock is part of the western Urnäsch firn wreath.
fact_place_place_wissig_wissig_is_part_of_the_western_urnäsch_firn_wreath,Wissig is part of the western Urnäsch firn wreath.
fact_place_place_hohen_ronen_the_wooded_molasse_mountains_of_the_hohen_ronen_appear_before_the_western_urnäsch,The wooded molasse mountains of the Hohen Ronen appear before the western Urnäsch.
fact_place_place_gottschalkenberg_the_wooded_molasse_mountains_of_the_gottschalkenberg_appear_before_the_western_urnäsch,The wooded molasse mountains of the Gottschalkenberg appear before the western Urnäsch.
fact_place_place_sihlwald_canton_of_zurich_switzerland_the_sihlwald_is_located_on_the_albis_slope,The Sihlwald is located on the Albis slope.
